x,類型,序號,題目,選項,,,,,答案,題目文字尺寸,選項文字尺寸,圖片完整檔名,題目音檔完整檔名,答案音檔完整檔名
,LANGUAGE,10,但願人長久 千里共嬋娟 其中嬋娟指的是什麼?,月亮,姻緣,嫦娥,房事,相思,A,,,,,
,LANGUAGE,11,"魏武行役失汲道，軍皆渴，乃令曰:「前有梅林，饒子，甘酸，可以解渴。」
此為望梅止渴之由來. 請問此為魏武帝(曹操)攻擊何人時發生之事?",袁術,張繡,劉表,袁紹,劉備,B,,,,,
,LANGUAGE,12,"一鄉二里共三夫子，不識四書五經六義，竟敢教七八九子，十分大膽
以下何句為華安所回?",一篩二線三加四隔，五包清冠六天再驗，心情七上八下九成輕症，十分擔心,十室九貧，湊得八兩七錢六分五毫四厘，尚且三心二意，一等下流,一卷二題共三問答;不議四力五式六論;竟只寫七八九字，十分混蛋,十課九混總得八天七時六分五刻四秒;尚且三摸二請，一等庸師,十人九姓八東主，施了七厘六毫五絲四息，尚且三心二意，一等鄙俚,B,,32,,,
,LANGUAGE,13,下列何者對應正確?,李賀---詩鬼,白居易---詩狂,羅時豐---詩詩,孟郊---詩奴,陳子昂---詩佛,A,,,,,
,LANGUAGE,14,三國演義開篇詞“滾滾長江東逝水”是借用了誰的作品?,范仲淹,張孝祥,楊慎,陳孟伶,賀知章,C,,,,,
,LANGUAGE,15,唐伯虎點秋香中，華太師官拜幾品?,一品,二品,三品,九品,尊稱無官職,A,,,,,
,MUSIC,1,五月天《將軍令》歌詞中 〃拳頭只能讓人低頭〃 下一句是?,念頭卻能讓人抬頭,歷史落在贏家念頭,歷史落在贏家之手,戰場不會放過你我,戰場卻會讓人抬頭,A,,,,,
,MUSIC,2,陳奕迅《孤勇者》歌詞中 〃愛你孤身走暗巷〃 下一句是?,愛你對峙過絕望,愛你破爛的衣裳,愛你不跪的模樣,愛你和我那麼像,卻敢賭命運的槍,C,,,,,
,MUSIC,3,任然《飛鳥和蟬》 歌詞中 〃第十三月你就如期出現〃 下一句是?,你驕傲的飛遠,思念被季風吹遠,吹遠默唸的側臉,海之角也不再遙遠,在風暖月光的地點,D,,,,,
,MUSIC,4,林俊傑《曹操》 歌詞中 〃獨自走下長板坡〃 下一句是?,說不清對與錯,明說暗奪的摸,一心要拿荊州,月光太溫柔,烽火連天不休,D,,,,,
,MUSIC,5,以下哪一位歷史人物沒有被流行華語歌手創作成歌 (歌名)?,花木蘭,曹操,霍元甲,李白,成吉思汗,A,,,,,
,MUSIC,6,"歌詞 ""紐約的蘇珊娜 開了間禪風Lounge Bar"" 是以下哪一首歌的歌詞?",台北紐約,三國戀,中國話,新時代,中國老總,C,,,,,
,MUSIC,7,"歌詞 ""妳鎖眉 哭紅顏喚不回"" 是以下哪一首歌的歌詞?",髮如雪,妳，好不好,刀劍如夢,青花瓷,紅顏,A,,,,,
,MUSIC,8,猜出是下列哪一首歌?,梵谷的左耳,永不失聯的愛,最偉大的作品,醉赤壁,熟能生巧,C,,,,a.m4a,a-gw.m4a
,MUSIC,9,猜出是下列哪一首歌?,如果可以,從前說,怎麼了,可不可以進去一下下就好,嘉賓,B,,,,b.m4a,b-before.m4a
,MUSIC,10,猜出是下列哪一首歌?,日不落,紅色高跟鞋,美人計,大笨鐘,綠光,A,,,,c.m4a,c-sundown.m4a
,MUSIC,11,猜出是下列哪一首歌?,舞孃,愛久見人心,燕尾蝶,愛情36計,怪美的,B,,,,d.m4a,d-lovelong.m4a
,MUSIC,12,猜出是下列哪一首歌?,稻香,香草把噗,花香,草戒指,爺爺泡的茶,A,,,,e.m4a,e-perf.m4a
,MUSIC,13,猜出是下列哪一首歌?,因為妳所以我,私奔到月球,C.愛情萬歲,後來的我們,盛夏光年,B,,,,f.m4a,f-moon.m4a
,MUSIC,14,猜出是下列哪一首歌?,鬼迷心竅,怪天氣,披星戴月的想你,好不容易,愛人錯過,D,,,,g.m4a,g-easy.m4a
,MUSIC,15,猜出是下列哪一首歌?,刻在我心底的名字,月牙灣,開始懂了,遇見,天黑黑,E,,,,h.m4a,h-dark.m4a
,GEOGRAPHY,1,《山海經》是一部中國古代地理變遷的書，請問內容主要包含哪種學問?,戰爭學,宗教學,儒學,法學,孫子兵法,B,,,,,
,GEOGRAPHY,2,哪個選項是古代地理學常見的字?,一心,三多,六合,八德,九如,C,,,,,
,GEOGRAPHY,3,哪個選項不是中國古地名?,芎林,華榮道,燕雲十六州,孤竹,寧骨塔,A,,,,,
,GEOGRAPHY,4,四川盆地也被稱?川渝盆地，其沒有緊鄰哪座山?,大婁山,大巴山,大涼山,米倉山,大別山,E,,,,,
,GEOGRAPHY,5,三國名將常山趙子龍於長板坡一戰成名，考古發現，若依據原先地名命名，應該叫什麼趙子龍?,黃山,長白山,恆山,岡山,泰山,C,,,,,
,GEOGRAPHY,6,中國八大古都當今哪個省份佔最多?,湖南省,湖北省,河南省,河北省,海南省,C,,,,,
,GEOGRAPHY,7,三國中的孫吳共疆域涵蓋了四州，請問荊州的州治(政府駐地)名稱為何?,江城,江陵,江陰,江門,江夏,B,,,,,
,GEOGRAPHY,8,漢朝出現太平道為道教其中一派，請問哪座山不是道教聖山?,太行山,崆峒山,羅浮山,綿山,青城山,A,,,,,
,GEOGRAPHY,9,洛陽三面環山，有兩條大河穿過，境內河渠密布，不包含哪一條?,黃河,洛河,撫河,伊河,清河,C,,,,,
,GEOGRAPHY,10,成都地勢西北高東南低，因此各河流均由西北向東南流入，構成典型的甚麼狀水系?,平行狀,格子狀,樹枝狀,羽狀,扇狀,E,,,,,
,GEOGRAPHY,11,建業最重要的山體其有「鐘山龍蟠、石頭虎踞」之稱，請問該山名稱為何?,靈岩山,紫金山,老山,茅山,棲霞山,B,,,,,
,GEOGRAPHY,12,"""街亭之戰""是三國時期蜀漢北伐的一場戰事，也是第一次北伐中的一場決定性戰役。街停位於現今的何省?",青海,甘肅,陝西,四川,寧夏,B,,,,,
,GEOGRAPHY,13,四十二章經中提到的 東郊皇陵 位於何省?,廣西,江西,浙江,福建,雲南,A,,,,,
,GEOGRAPHY,14,開封有個 包青天 ，鐵面無私 辨忠奸. 請問包大人的開封府位於現今何地?,北京,湖北,河南,江西,台灣,C,,,,,
,GEOGRAPHY,15,赤壁之戰， 吳蜀大敗曹魏. 終換來了長時間的三國鼎立. 赤壁位於現今何地?,河北,湖北,湖南,河南,浙江,B,,,,,
,HISTORY,1,「南書房」是由那一位皇帝在位時所設立的？,隋文帝楊堅,唐太宗李世民,宋太祖趙匡胤,明宣宗朱瞻基,清聖祖玄燁,E,,,,,
,HISTORY,2,唐德宗死後，李誦提拔王坯，王叔文主持朝政，實行一系列的改革，這場改革稱作什麼？,維新運動,永貞革新,商鞅變法,管仲改革,貞觀之治,B,,,,,
,HISTORY,3,諸葛亮與劉備初次會面的對話內容，後世稱為？,隆中對,茅廬三策,江都對,榻上策,六韜九策,A,,,,,
,HISTORY,4,龍陽之癖的典故出自於那本書？,史記,後漢書,戰國策,資治通鑑,春秋傳,C,,,,,
,HISTORY,5,鉅鹿之戰中，是誰破釜沉舟，猛攻秦軍糧道，迫使秦軍投降？,劉邦,蘇起,王莽,項羽,張郃,D,,,,,
,HISTORY,6,公元1127年，金國軍隊攻入開封，宋徽宗、宋欽宗被俘，歷史稱為什麼？,靖難之變,庚戍之變,靖康之變,甲申之變,安史之變,C,,,,,
,HISTORY,7,隋煬帝楊廣即位後，曾幾次去討伐高句麗？,二次,三次,四次,五次,六次,B,,,,,
,HISTORY,8,在清朝時代，首任台灣巡撫是誰？,左宗棠,沈葆楨,劉銘傳,李鴻章,曾國藩,C,,,,,
,HISTORY,9,八旗制度由那一位皇帝創立的？,忽必烈,鐵木真,耶律阿保機,努爾哈赤,拓跋珪,D,,,,,
,HISTORY,10,下列那一個不是「三孔」孔子故里山東曲阜的簡稱？,孔廟,孔府,孔城,孔林,,C,,,,,
,HISTORY,11,中國歷史的聖人中，「茶聖」是誰？,陸羽,杜康,吳道子,張仲景,孫思邈,A,,,,,
,HISTORY,12,下列那一個不是清朝初年的「三藩之亂」中的三藩？,吳三桂(平西王),尚可喜(平南王),鄭經(延平王),耿精忠(靖南王),,C,,,,,
,HISTORY,13,東晉時期的「王與馬，共天下」指的是誰？,王導與司馬睿,王健與司馬光,王裁與司馬遷,王羲之與司馬懿,王拓與司馬茜,A,,,,,
,HISTORY,14,《左傳》紀元從魯國哪位國君開始？,魯惠公,魯隱公,魯桓公,魯懿公,魯武公,B,,,,,
,HISTORY,15,宋朝女詩人李清照，自號：,青蓮居士,易安居士,香山居士,六一居士,醉吟居士,B,,,,,
